,0
0,SYMBOL
1,20MICRONS
2,21STCENMGM
3,3IINFOTECH
4,3MINDIA
5,3PLAND
6,5PAISA
7,63MOONS
8,A2ZINFRA
9,AARTIDRUGS
10,AARTIIND
11,AARTISURF
12,AARVEEDEN
13,AARVI
14,AAVAS
15,ABAN
16,ABB
17,ABBOTINDIA
18,ABCAPITAL
19,ABFRL
20,ABMINTLTD
21,ACC
22,ACCELYA
23,ACE
24,ADANIENT
25,ADANIGAS
26,ADANIGREEN
27,ADANIPORTS
28,ADANIPOWER
29,ADANITRANS
30,ADFFOODS
31,ADHUNIKIND
32,ADORWELD
33,ADROITINFO
34,ADSL
35,ADVANIHOTR
36,ADVENZYMES
37,AEGISCHEM
38,AFFLE
39,AGARIND
40,AGCNET
41,AGRITECH
42,AGROPHOS
43,AHLEAST
44,AHLUCONT
45,AHLWEST
46,AIAENG
47,AIONJSW
48,AIRAN
49,AJANTPHARM
50,AJMERA
51,AKASH
52,AKSHARCHEM
53,AKSHOPTFBR
54,AKZOINDIA
55,ALANKIT
56,ALBERTDAVD
57,ALCHEM
58,ALEMBICLTD
59,ALICON
60,ALKALI
61,ALKEM
62,ALKYLAMINE
63,ALLCARGO
64,ALLSEC
65,ALMONDZ
66,ALOKINDS
67,ALPA
68,ALPHAGEO
69,ALPSINDUS
70,AMARAJABAT
71,AMBER
72,AMBIKCO
73,AMBUJACEM
74,AMDIND
75,AMJLAND
76,AMRUTANJAN
77,ANANTRAJ
78,ANDHRACEMT
79,ANDHRAPAP
80,ANDHRSUGAR
81,ANIKINDS
82,ANKITMETAL
83,ANSALAPI
84,ANSALHSG
85,ANUP
86,APARINDS
87,APCL
88,APCOTEXIND
89,APEX
90,APLAPOLLO
91,APLLTD
92,APOLLO
93,APOLLOHOSP
94,APOLLOPIPE
95,APOLLOTYRE
96,APOLSINHOT
97,APTECHT
98,ARCHIDPLY
99,ARCHIES
100,ARCOTECH
101,ARENTERP
102,ARIES
103,ARIHANT
104,ARIHANTSUP
105,ARMANFIN
106,AROGRANITE
107,ARROWGREEN
108,ARSHIYA
109,ARSSINFRA
